Geneid	Chr	Start	End	Strand	Length	logFC	logCPM	LR	PValue	FDR	significance
ENSG00000170381	7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7	83363238;83367485;83371496;83385294;83385294;83385294;83386983;83386983;83386983;83392555;83392555;83392555;83394297;83394297;83394297;83396638;83396638;83396638;83400028;83400028;83400028;83402632;83402632;83402632;83405450;83405450;83405450;83405945;83405945;83405945;83407097;83407097;83407097;83407140;83408368;83408368;83408368;83408368;83408368;83418390;83418390;83418390;83418390;83462048;83466482;83466482;83466482;83466482;83469243;83469243;83469243;83469243;83490114;83490114;83490114;83490114;83490188;83612578;83616612;83641332;83648428;83648428;83648428	83368038;83368038;83372287;83385433;83385433;83385433;83387050;83387050;83387050;83392721;83392721;83392721;83394338;83394338;83394338;83396729;83396729;83396729;83400250;83400250;83400250;83402776;83402776;83402776;83405519;83405519;83405519;83406059;83406059;83406059;83407239;83407239;83407239;83407239;83408487;83408487;83408487;83408487;83408487;83418483;83418483;83418483;83418483;83462160;83466601;83466601;83466601;83466601;83469302;83469302;83469302;83469302;83490274;83490274;83490274;83490274;83490274;83612648;83616712;83641431;83648802;83648550;83649139	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8450	-7.660424063935898	5.927712682804769	39.686114891568444	2.982383392487535e-10	4.081314117106602e-7	Downregulated
ENSG00000126890	X;X;X;X;X	154651972;154651977;154652497;154653247;154653247	154652631;154652267;154652631;154653579;154653579	-;-;-;-;-	993	8.85955579388896	2.1763464767575984	39.66528302064804	3.0143656822219506e-10	4.081314117106602e-7	Upregulated
ENSG00000211655	22;22	22431958;22432159	22432043;22432465	+;+	393	-7.967055361934403	3.0400958226530164	39.469014006813104	3.333064676065508e-10	4.316608587215795e-7	Downregulated
ENSG00000211893	14;14;14;14;14;14;14;14;14;14	105639559;105641779;105643068;105643211;105643623;105643623;105644068;105644068;105644496;105644496	105641048;105641909;105643525;105643525;105643949;105643949;105644103;105644103;105644790;105644790	-;-;-;-;-;-;-;-;-;-	2737	-7.547939754345868	8.171549553872056	39.23703692413659	3.7535215358760305e-10	4.6585894162141385e-7	Downregulated
ENSG00000211677	22	22900976	22901437	+	462	-7.519137057490429	7.972307283723046	39.02858287425134	4.17645804440055e-10	4.976166230742368e-7	Downregulated
ENSG00000253755	14;14;14;14;14;14	105664633;105666836;105668253;105668663;105669394;105669551	105664709;105666966;105668565;105668992;105669427;105669843	-;-;-;-;-;-	1178	-7.518695628737329	6.532971141177113	38.90531802396699	4.4486703343228735e-10	5.096636278787516e-7	Downregulated
ENSG00000166923	15;15;15;15;15;15;15;15;15;15	32718004;32718004;32718004;32718494;32730690;32730690;32730690;32730690;32730916;32730928	32718161;32718161;32718161;32718702;32730804;32745106;32734583;32730794;32731275;32733302	+;+;+;+;+;+;+;+;+;+	14784	-7.55357603437597	4.584679927791183	38.42742969363933	5.682801999107833e-10	6.26939344990463e-7	Downregulated
ENSG00000170561	5;5;5;5;5;5;5;5;5	2745845;2746165;2747541;2748345;2748345;2749382;2749382;2751165;2751165	2746786;2747616;2747616;2749052;2749052;2749787;2749787;2751677;2751662	-;-;-;-;-;-;-;-;-	3399	-7.587114878804049	3.960169111218181	38.106621902223395	6.698242108797534e-10	7.125733489098292e-7	Downregulated
ENSG00000186493	5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	2752131;2752148;2752228;2752228;2752228;2752246;2752265;2752622;2752622;2752622;2752622;2752680;2752680;2753285;2753285;2753285;2753285;2753285;2755029;2755029;2755029;2755029;2755029;2755029	2752464;2752464;2752464;2752464;2752464;2752464;2752464;2752754;2752754;2752754;2752754;2752754;2752754;2754373;2753370;2753355;2753370;2753355;2755376;2755081;2755081;2755081;2755397;2755081	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1925	-7.6205672149370685	3.0581325261111316	37.34253457972629	9.909949897195e-10	1.0178885434060257e-6	Downregulated
ENSG00000174332	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	53506237;53506239;53509120;53509120;53509849;53509849;53514625;53514625;53520634;53520634;53524777;53524777;53529791;53529791;53594108;53594108;53600101;53600101;53733904;53737806;53739105	53506776;53506776;53509287;53509287;53510027;53510027;53514781;53514781;53520766;53520766;53524887;53524887;53529952;53529952;53594990;53594990;53600278;53600278;53734204;53738106;53739164	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3173	-7.392036960087466	4.234787892309081	37.22027097857547	1.0551128130917143e-9	1.0476215121187632e-6	Downregulated
ENSG00000254709	22;22;22;22;22;22;22;22	22887780;22887816;22887829;22893697;22893700;22895375;22895375;22895375	22888259;22888259;22888259;22893818;22893818;22896107;22895825;22896111	+;+;+;+;+;+;+;+	1339	-8.40629134058447	1.4236137967705378	37.01823937913589	1.1702938218490656e-9	1.12450135714252e-6	Downregulated
ENSG00000211895	14;14;14;14;14;14;14;14	105703995;105704367;105707118;105707230;105707785;105707785;105708359;105708359	105704086;105704584;105707562;105707562;105708144;105708144;105708665;105708665	-;-;-;-;-;-;-;-	1422	-7.205675017301245	9.178492873587013	36.88555010654162	1.252709467306201e-9	1.1660767782078066e-6	Downregulated
ENSG00000186439	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	123216339;123221487;123224093;123252412;123255081;123255867;123259624;123260612;123265318;123267707;123269849;123271139;123272964;123273337;123274641;123278318;123279056;123316457;123331879;123337619;123349475;123352539;123366135;123366135;123375605;123375605;123377716;123377716;123377866;123377866;123381370;123381370;123382118;123382118;123388522;123388522;123393624;123393624;123438063;123438063;123438944;123438944;123464250;123464906;123464906;123497037;123497193;123497193;123501830;123503719;123503719;123503719;123503719;123512303;123512303;123512303;123512303;123512303;123516141;123516141;123516141;123516141;123516141;123528485;123528681;123530506;123530506;123530506;123530506;123530506;123530506;123530506;123547340;123547340;123547340;123547340;123547340;123547340;123547340;123548454;123548454;123548454;123548454;123548454;123548454;123548454;123570923;123570923;123570923;123570923;123570923;123570923;123570923;123587459;123587459;123636754;123636754;123636754;123636754;123636754	123218740;123221522;123224131;123252435;123255125;123255902;123259662;123260638;123265338;123267751;123269866;123271186;123273011;123273363;123274670;123278347;123279082;123316495;123331929;123337669;123352586;123352586;123366182;123366182;123375631;123375631;123377742;123377742;123377898;123377898;123381390;123381390;123382147;123382147;123388551;123388551;123393677;123393677;123438125;123438122;123439003;123439003;123464983;123464983;123464983;123498645;123497252;123497252;123503901;123503901;123503901;123503901;123503901;123512362;123512362;123512362;123512362;123512362;123516206;123516206;123516206;123516206;123516206;123529429;123529293;123530565;123530565;123530565;123530565;123530565;123530565;123530565;123547372;123547372;123547372;123547372;123547372;123547372;123547372;123548612;123548612;123548612;123548612;123548612;123548612;123548612;123571132;123571132;123571132;123571132;123571132;123571132;123571132;123587685;123587745;123636972;123637189;123636909;123636988;123636950	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	13259	-7.409270633272258	3.42915079155244	36.78514102878983	1.3189166634903046e-9	1.190502141072294e-6	Downregulated
ENSG00000230316	7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7	122303658;122304573;122304950;122305288;122305288;122306516;122306516;122306881;122306998;122306999;122307300;122307303;122308487;122308487;122308487;122309584;122309584	122304268;122304743;122305187;122306262;122306262;122306660;122306660;122307488;122307087;122308679;122307488;122307488;122308557;122308557;122308557;122310119;122310077	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4475	7.311130561958764	4.546323261528954	36.67490564567639	1.3956449217042542e-9	1.222708096553077e-6	Upregulated
ENSG00000232216	14;14	106470264;106470675	106470571;106470800	-;-	434	-9.325608762472422	0.6433438783121296	36.508119380087564	1.5203164209069458e-9	1.2938761494158627e-6	Downregulated
ENSG00000125816	20;20	21395365;21396958	21396533;21397526	-;-	1738	-8.273589604663435	1.297596134884769	36.10990106000109	1.8649685630039848e-9	1.5009949987813923e-6	Downregulated
ENSG00000256440	12;12	25831416;25833949	25831554;25834182	-;-	373	9.557330522168918	0.8832265944729312	36.07901048526114	1.8947680568040356e-9	1.5009949987813923e-6	Upregulated
ENSG00000123407	12;12	53954903;53956328	53955539;53958956	+;+	3266	-7.9261525061064315	1.8435434430460715	36.058460519995236	1.9148558080267535e-9	1.5009949987813923e-6	Downregulated
ENSG00000180318	12;12;12;12	85280220;85283572;85286853;85301155	85280487;85283876;85286981;85301784	+;+;+;+	1332	-8.248794692851884	1.3302337456922866	35.93764505927605	2.0373414222647453e-9	1.5271080294595202e-6	Downregulated
ENSG00000128610	7;7;7;7;7;7;7;7;7;7;7	122301303;122301969;122302799;122302799;122303177;122303177;122303637;122303637;122304009;122304331;122310185	122302355;122302355;122302931;122302931;122303311;122303311;122303858;122304750;122304499;122304511;122310691	-;-;-;-;-;-;-;-;-;-;-	2942	7.742959474851258	2.348357202253501	35.924907258896525	2.050704037948797e-9	1.5271080294595202e-6	Upregulated
ENSG00000229108	7;7;7;7;7	15688378;15688396;15694870;15694870;15696336	15688452;15688452;15695473;15696891;15696892	+;+;+;+;+	2098	7.501488380885683	2.7716731271609683	35.69358764806432	2.309228570327219e-9	1.677682717666753e-6	Upregulated
ENSG00000211651	22;22	22380766;22381041	22380925;22381347	+;+	467	-7.362011290295025	2.6391126822424584	35.57132899704362	2.458799892169989e-9	1.7438160092397015e-6	Downregulated
ENSG00000276775	14;14	106011922;106012311	106012228;106012420	-;-	417	-7.3407883082425	2.61821605195906	35.423869183392966	2.6521670414538183e-9	1.821765787166552e-6	Downregulated
ENSG00000275063	KI270726.1;KI270726.1	41444;41572	41489;41876	+;+	351	-9.164024722390874	0.48872471930380446	35.395535938959696	2.691029463703236e-9	1.821765787166552e-6	Downregulated
ENSG00000228349	21	39491544	39491898	-	355	-9.143121803001893	0.47509995461284066	35.27746369955435	2.8592153111678764e-9	1.8926099216390563e-6	Downregulated
ENSG00000211899	14;14;14;14;14;14;14;14;14;14	105851705;105852148;105854220;105854405;105854917;105854917;105855480;105855480;105855906;105855906	105851974;105852263;105854737;105854737;105855234;105855234;105855815;105855815;105856218;105856218	-;-;-;-;-;-;-;-;-;-	1871	-6.878796681862431	10.58835616369059	34.628657327645314	3.989890957537329e-9	2.5692689363765558e-6	Downregulated
ENSG00000240382	2;2	89117342;89117763	89117637;89117844	-;-	378	-9.047712868513285	0.37814881606325534	34.59764174672294	4.0539711958135465e-9	2.5692689363765558e-6	Downregulated
ENSG00000211652	22;22	22395018;22395185	22395097;22395489	+;+	385	-7.147143047688167	2.751194278240894	34.53470770696843	4.187182028379446e-9	2.5984081474862198e-6	Downregulated
ENSG00000156076	12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12	65050626;65051307;65055118;65055118;65056031;65056073;65062481;65062481;65066641;65066641;65067695;65067743;65068764;65068764;65077746;65077746;65120417;65120417;65121044	65051470;65051470;65055213;65055213;65056126;65056126;65062576;65062576;65066659;65066736;65067790;65067790;65068904;65068904;65077854;65077854;65120686;65120556;65121305	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2107	-6.908857425650042	4.482870517128374	34.185813049457735	5.009281564204696e-9	3.0451320398564343e-6	Downregulated
ENSG00000134762	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	30989365;30990086;30994126;30994454;30994454;30996791;30996791;30996791;31001618;31001618;31001618;31004142;31004142;31004142;31006907;31006907;31006907;31008016;31008016;31008269;31008269;31018071;31018071;31018666;31018666;31022336;31022336;31024349;31024349;31025760;31025760;31029509;31029509;31030973;31030973;31032192;31032192;31042592;31042592	30994372;30994372;30994372;30994496;30994496;30997048;30997048;30997048;31001739;31001739;31001739;31004366;31004366;31004366;31006918;31007131;31007131;31008158;31008158;31008525;31008525;31018256;31018256;31018800;31018800;31022502;31022502;31024493;31024493;31025915;31025915;31029628;31029628;31031172;31031172;31032276;31032276;31042815;31042742	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7699	-7.612766376211248	1.4727041245592907	33.93791463381575	5.689901821635258e-9	3.389702111220989e-6	Downregulated
ENSG00000284934	12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12	122207662;122216488;122216561;122216759;122216759;122218266;122218266;122218682;122224512;122224512;122225965;122226216;122226430;122227356;122227356;122227356	122208577;122216584;122216584;122216869;122216869;122218397;122218397;122218775;122224644;122224644;122226653;122226568;122226564;122227533;122227534;122227421	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2351	-6.975700681140778	3.16478372025565	33.73695946625206	6.309055369455335e-9	3.684859456666001e-6	Downregulated
ENSG00000211897	14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14	105764503;105767813;105769102;105769245;105769657;105769657;105770105;105770105;105770293;105770293;105770481;105770481;105770669;105770669;105771112;105771112	105765997;105767943;105769559;105769559;105769986;105769986;105770149;105770149;105770337;105770337;105770525;105770525;105770719;105770719;105771405;105771405	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2894	-6.722131380393908	7.79246720110933	33.50387964164568	7.11219830927983e-9	4.0740586738176595e-6	Downregulated
ENSG00000233973	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	73305609;73306147;73306149;73306153;73306160;73306163;73306165;73306170;73306179;73306179;73306181;73306182;73306187;73306192;73306208;73306239;73307168;73307168;73307168;73307168;73307168;73307168;73307168;73307168;73307168;73307168;73307168;73307188;73310853;73310853;73310853;73310853;73310853;73310853;73310853;73310853;73310853;73310853;73310853;73310853;73319468;73319468;73319468;73335446;73348134;73348134;73348134;73348137;73348137;73355073;73355073;73355073;73355073;73355073;73355073	73306274;73306297;73306297;73306274;73306274;73306274;73306274;73306274;73306297;73306274;73306274;73306274;73306274;73306297;73306274;73306274;73307363;73307384;73307576;73307363;73307363;73307363;73307363;73307572;73307363;73307384;73307363;73307363;73310990;73310990;73310990;73310990;73310990;73310990;73310990;73310990;73310990;73310990;73310990;73310990;73319667;73319667;73319667;73338877;73348607;73348618;73348390;73348302;73348302;73355251;73355251;73355251;73355251;73355253;73355253	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5534	-8.86110877529737	0.20738480262243075	33.345247782909155	7.716615441095202e-9	4.33688347441326e-6	Downregulated
ENSG00000211598	2;2	88885397;88885840	88885620;88886153	+;+	538	-6.725936785576753	4.5689957621933255	33.151561799991974	8.52478753411573e-9	4.702367523679726e-6	Downregulated
ENSG00000211892	14;14;14;14;14;14;14;14;14;14	105620506;105623068;105624341;105624484;105624896;105624896;105625344;105625344;105625772;105625772	105621995;105623198;105624798;105624798;105625225;105625225;105625379;105625379;105626066;105626066	-;-;-;-;-;-;-;-;-;-	2740	-6.680050719278585	5.704353348514026	33.063739636822845	8.918656805743587e-9	4.830182368594259e-6	Downregulated
ENSG00000143631	1;1;1	152302165;152315319;152325189	152314747;152315477;152325239	-;-;-	12793	-6.866425443778989	2.955231146062594	33.00836102513621	9.176339730268201e-9	4.880993420455338e-6	Downregulated
ENSG00000211669	22;22	22811747;22811981	22811827;22812281	+;+	382	-7.814309480673869	0.8502366977918877	32.92631770010284	9.571867487932736e-9	5.002056436193902e-6	Downregulated
ENSG00000211956	14;14	106373663;106374048	106373964;106374145	-;-	400	-7.1555669826040145	1.7378114064861792	32.85292919355909	9.940118196971102e-9	5.104936219537556e-6	Downregulated
ENSG00000006377	7;7;7;7;7;7;7;7	97005553;97006493;97007425;97007638;97007638;97009796;97009796;97009796	97006413;97007529;97007831;97007831;97007831;97011040;97010176;97010054	+;+;+;+;+;+;+;+	3445	-6.712078219605299	3.9483230828909477	32.76743296849479	1.0387056494321035e-8	5.244055115192215e-6	Downregulated
ENSG00000204542	6;6	31111223;31112489	31112291;31112575	-;-	1156	7.272760409551627	1.9577508222022504	32.666644863736906	1.0939854551865588e-8	5.397008071142162e-6	Upregulated
ENSG00000211656	22;22	22588155;22588381	22588258;22588688	+;+	412	-7.76926426989761	0.8066650825147214	32.61548067778587	1.1231657629596649e-8	5.397008071142162e-6	Downregulated
ENSG00000168530	2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	210290150;210290150;210291032;210291032;210291032;210293723;210293723;210293723;210293723;210294245;210294245;210294245;210294245;210298420;210298420;210298420;210298420;210302488;210302488;210302768;210302768;210302768;210303542;210303542;210303542;210314911	210290467;210290467;210291074;210291074;210291074;210293800;210293800;210293800;210293800;210294418;210294418;210294418;210294418;210298563;210298563;210298563;210298563;210302515;210302515;210302956;210302956;210302792;210303615;210303615;210303629;210315174	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1326	-8.753149703379004	0.1071764629831429	32.61514890046243	1.1233575063309969e-8	5.397008071142162e-6	Downregulated
ENSG00000211896	14;14;14;14;14;14;14;14;14;14;14;14;14;14;14	105736343;105740063;105741338;105741339;105741481;105741893;105741893;105741893;105742065;105742341;105742341;105742341;105742777;105742777;105742777	105737845;105740193;105741795;105741795;105741795;105741959;105742222;105742222;105742222;105742385;105742385;105742385;105743071;105743071;105743071	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2762	-6.576031072190276	8.85024959429204	32.51776677828232	1.1810784240527926e-8	5.584251272581037e-6	Downregulated
ENSG00000143032	1;1;1	90711539;90714531;90716571	90712624;90714756;90717302	-;-;-	2044	-7.399713522551092	1.25057235920819	32.440974942785246	1.2286824776458203e-8	5.718557025255633e-6	Downregulated
ENSG00000213130	6	128580113	128580884	-	772	-7.36116706986282	1.2616076446383786	32.181065568054144	1.404528732234461e-8	6.436414976471983e-6	Downregulated
ENSG00000211967	14;14	106592676;106593081	106592979;106593347	-;-	571	-8.66920784635591	0.020712342437813	32.01104098979372	1.532988117906281e-8	6.918654101223392e-6	Downregulated
